Vehicle Name,Trip Started At,Trip Ended At,Trip Distance Miles,Average MPG,Fuel Cost USD,Hard Brake Count,Hard Accel Count,Duration Over 70 MPH,Duration Over 75 MPH,Duration Over 80 MPH,Trip Path Image Map URL,Start Location Lon,Start Location Lat,Start Location Map URL,End Location Lon,End Location Lat,End Location Map URL
Volkswagen Jetta,"August 21, 2014 at 06:24PM","August 21, 2014 at 07:22PM",43.31,28.38,$5.77,1,1,349,40,0,http://wmsy.me/1oWpcpV,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.923343,40.762686,http://wmsy.me/1eDquSs
Volkswagen Jetta,"August 22, 2014 at 11:29AM","August 22, 2014 at 01:44PM",77.15,25.45,$10.66,2,1,224,7,0,http://wmsy.me/1zd9832,-73.923343,40.762686,http://wmsy.me/1eDquSs,-74.0862698,41.5781398,http://wmsy.me/1BKPr6U
Volkswagen Jetta,"August 22, 2014 at 02:00PM","August 22, 2014 at 02:02PM",0.09,6.41,$0.05,0,0,0,0,0,http://wmsy.me/1sbjs95,-74.0862698,41.5781398,http://wmsy.me/1BKPr6U,-74.0862698,41.5781398,http://wmsy.me/1BKPr6U
Volkswagen Jetta,"August 22, 2014 at 02:05PM","August 22, 2014 at 04:31PM",120.06,29.32,$14.99,0,0,2111,438,0,http://wmsy.me/1ze2rxz,-74.0862698,41.5781398,http://wmsy.me/1BKPr6U,-73.847291,43.0709469,http://wmsy.me/1pRvZQG
Volkswagen Jetta,"August 24, 2014 at 11:37AM","August 24, 2014 at 01:38PM",111.15,29.97,$13.54,0,0,432,0,0,http://wmsy.me/XJYBBe,-73.847291,43.0709469,http://wmsy.me/1pRvZQG,-73.765558,41.778562,http://wmsy.me/XJYB44
Volkswagen Jetta,"August 24, 2014 at 01:47PM","August 24, 2014 at 03:58PM",94.59,28.28,$12.83,0,0,111,0,0,http://wmsy.me/1wpe6xE,-73.765558,41.778562,http://wmsy.me/XJYB44,-73.8202828,40.7782814,http://wmsy.me/1uRdaRS
Volkswagen Jetta,"August 24, 2014 at 06:05PM","August 24, 2014 at 06:25PM",7.62,20.12,$1.44,0,0,0,0,0,http://wmsy.me/1ALm82p,-73.8202828,40.7782814,http://wmsy.me/1uRdaRS,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE
Volkswagen Jetta,"August 25, 2014 at 10:54AM","August 25, 2014 at 11:46AM",41.69,28.39,$5.54,0,0,61,13,0,http://wmsy.me/1hoOQP5,-73.9236762,40.7628992,http://wmsy.me/1jeHfiE,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"August 25, 2014 at 02:08PM","August 25, 2014 at 02:10PM",0.4,15.52,$0.1,0,0,0,0,0,http://wmsy.me/1nJaA6S,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.261455,40.7681853,http://wmsy.me/XXwq1s
Volkswagen Jetta,"August 25, 2014 at 02:16PM","August 25, 2014 at 02:18PM",0.44,16.12,$0.1,0,0,0,0,0,http://wmsy.me/1wsK7Vt,-73.261455,40.7681853,http://wmsy.me/XXwq1s,-73.262147,40.762182,http://wmsy.me/1tCcFY0
