,Unnamed: 0,Start.Time,commute,Gate List
133,134,2014-10-07 08:57:00,AM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
134,135,2014-10-07 17:52:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
135,136,2014-10-08 09:11:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
136,137,2014-10-08 19:43:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
137,138,2014-10-14 09:08:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
138,139,2014-10-14 19:02:00,PM,"LIE2,LIE1,LIE6,LIE7,LIE4,LIE5"
139,140,2014-10-15 08:29:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
140,141,2014-10-15 19:12:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
141,142,2014-10-16 09:37:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
142,143,2014-10-16 18:34:00,PM,"LIE2,LIE1,LIE6,LIE7,LIE4,LIE5"
143,144,2014-10-21 08:52:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
144,145,2014-10-21 18:40:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
145,146,2014-10-22 08:24:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
146,147,2014-10-22 19:37:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
147,148,2014-10-23 08:19:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
148,149,2014-10-23 18:21:00,PM,"LIE2,LIE1,LIE6,LIE7,LIE4,LIE5"
149,150,2014-10-24 09:02:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
150,151,2014-10-24 18:47:00,PM,"GCP2,CIP1,NSP3,LIE2,BQE2,LIE1"
151,152,2014-10-27 09:27:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
152,153,2014-10-27 19:56:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
153,154,2014-10-28 09:05:00,AM,"GCP2,CIP1,LIE2,LIE1,LIE4"
154,155,2014-10-28 18:55:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
155,156,2014-10-29 20:21:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
156,157,2014-11-17 07:57:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
157,158,2014-11-17 17:56:00,PM,"GCP2,CIP1,NSP3,LIE2,BQE2,LIE1"
158,159,2014-11-18 08:07:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
159,160,2014-11-18 15:52:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
160,161,2014-11-19 18:25:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
161,162,2014-11-20 08:44:00,AM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
162,163,2014-11-20 17:47:00,PM,"GCP2,CIP1,NSP2,BQE2,LIE4"
163,164,2014-11-21 08:19:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
164,165,2014-11-21 16:36:00,PM,"GCP2,NSP1,LIE2,BQE2,LIE4,LIE5,CVE1"
165,166,2014-12-03 08:52:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
166,167,2014-12-03 18:17:00,PM,"GCP2,NSP1,CIP1,NSP3,NSP2,BQE2"
167,168,2014-12-04 06:40:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
168,169,2014-12-05 13:21:00,PM,"GCP2,GCP1,BQE2"
169,170,2014-12-09 09:02:00,AM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
170,171,2014-12-09 20:03:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
171,172,2014-12-10 07:38:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
172,173,2014-12-10 18:19:00,PM,"GCP2,CIP1,NSP3,LIE2,BQE2,LIE1"
173,174,2014-12-11 07:41:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
174,175,2014-12-11 18:29:00,PM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
175,176,2014-12-12 09:57:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
176,177,2014-12-15 09:27:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
177,178,2014-12-15 19:31:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
178,179,2014-12-16 08:52:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
179,180,2014-12-16 15:30:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
180,181,2014-12-18 07:27:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
181,182,2014-12-18 17:49:00,PM,"GCP2,GCP1,NSP3,NSP2,BQE2"
182,183,2014-12-19 08:29:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
183,184,2014-12-19 13:25:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
184,185,2014-12-22 09:22:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
185,186,2014-12-22 17:50:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
186,187,2014-12-23 08:53:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
187,188,2014-12-23 16:15:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
188,189,2014-12-29 08:55:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
189,190,2014-12-29 17:53:00,PM,"GCP2,GCP1,NSP1,LIE2,BQE2,LIE4,LIE5"
190,191,2014-12-30 09:05:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
191,192,2014-12-30 18:07:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
192,193,2015-01-12 10:06:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
193,194,2015-01-12 19:09:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
194,195,2015-01-13 09:13:00,AM,"GCP2,GCP1,NSP3,NSP2,BQE2,LIE1"
195,196,2015-01-13 20:35:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
196,197,2015-01-14 09:11:00,AM,"GCP2,CIP1,LIE2,LIE1,LIE4"
197,198,2015-01-14 19:18:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
